Code Insee,Code postal,latitude,longitude,nom commune,département,région,population 2015,population 2021
01240,01580,46.2565319445,5.53958933702,Matafelon-Granges,Ain,Auvergne-Rhône-Alpes,647.0,629.0
01241,01370,46.244997627,5.33594738489,Meillonnas,Ain,Auvergne-Rhône-Alpes,1316.0,1383.0
01242,01450,46.0648564341,5.44210660051,Mérignat,Ain,Auvergne-Rhône-Alpes,121.0,136.0
01243,01480,46.0472670758,4.75935643933,Messimy-sur-Saône,Ain,Auvergne-Rhône-Alpes,1218.0,1288.0
01244,01800,45.9060530318,5.20404833653,Meximieux,Ain,Auvergne-Rhône-Alpes,7655.0,8085.0
01245,01250,46.1427060662,5.3780109646,Bohas-Meyriat-Rignat,Ain,Auvergne-Rhône-Alpes,878.0,965.0
01245,01250,46.1427060662,5.3780109646,Bohas-Meyriat-Rignat,Ain,Auvergne-Rhône-Alpes,878.0,965.0
01245,01250,46.1427060662,5.3780109646,Bohas-Meyriat-Rignat,Ain,Auvergne-Rhône-Alpes,878.0,965.0
01246,01660,46.2423102101,5.04725416984,Mézériat,Ain,Auvergne-Rhône-Alpes,2135.0,2192.0
01247,01170,46.3622451724,6.00902631941,Mijoux,Ain,Auvergne-Rhône-Alpes,336.0,297.0
01247,01410,46.3622451724,6.00902631941,Mijoux,Ain,Auvergne-Rhône-Alpes,336.0,297.0
01248,01390,45.8955939299,4.92416967439,Mionnay,Ain,Auvergne-Rhône-Alpes,2138.0,2227.0
01249,01700,45.8442099203,4.94106746787,Miribel,Ain,Auvergne-Rhône-Alpes,9574.0,10225.0
01249,01700,45.8442099203,4.94106746787,Miribel,Ain,Auvergne-Rhône-Alpes,9574.0,10225.0
01249,01700,45.8442099203,4.94106746787,Miribel,Ain,Auvergne-Rhône-Alpes,9574.0,10225.0
01250,01600,45.9762325343,4.81028471711,Misérieux,Ain,Auvergne-Rhône-Alpes,1908.0,1994.0
01252,01140,46.1446696076,4.820110702,Mogneneins,Ain,Auvergne-Rhône-Alpes,773.0,803.0
01254,01250,46.1686969123,5.27962107938,Montagnat,Ain,Auvergne-Rhône-Alpes,1921.0,2145.0
